+----+-------------------------------------------------------------------------------------------------------+--------------+
|    | node (edge)                                                                                           |   value (GB) |
| 72 | ('individuals_merge_ID0000005', 'chr1n.tar.gz')                                                       |         0    |
| 56 | ('ALL.txt', 'mutation_overlap_ID0000019')                                                             |         0    |
| 75 | ('individuals_ID0000001', 'chr1n-1-2.tar.gz')                                                         |         0    |
| 77 | ('AMR.txt', 'frequency_ID0000014')                                                                    |         0    |
| 78 | ('AMR.txt', 'mutation_overlap_ID0000013')                                                             |         0    |
| 83 | ('SAS.txt', 'frequency_ID0000008')                                                                    |         0    |
| 84 | ('SAS.txt', 'mutation_overlap_ID0000007')                                                             |         0    |
| 57 | ('ALL.txt', 'frequency_ID0000020')                                                                    |         0    |
| 18 | ('chr1n.tar.gz', 'mutation_overlap_ID0000019')                                                        |         0    |
| 22 | ('chr1n.tar.gz', 'frequency_ID0000014')                                                               |         0    |
| 37 | ('columns.txt', 'individuals_ID0000004')                                                              |         0    |
| 23 | ('chr1n.tar.gz', 'frequency_ID0000020')                                                               |         0    |
| 24 | ('chr1n.tar.gz', 'mutation_overlap_ID0000013')                                                        |         0    |
| 25 | ('chr1n.tar.gz', 'frequency_ID0000012')                                                               |         0    |
| 26 | ('chr1n.tar.gz', 'frequency_ID0000008')                                                               |         0    |
| 27 | ('chr1n.tar.gz', 'frequency_ID0000018')                                                               |         0    |
| 28 | ('chr1n.tar.gz', 'mutation_overlap_ID0000007')                                                        |         0    |
| 29 | ('columns.txt', 'mutation_overlap_ID0000011')                                                         |         0    |
| 30 | ('columns.txt', 'mutation_overlap_ID0000015')                                                         |         0    |
| 31 | ('columns.txt', 'mutation_overlap_ID0000009')                                                         |         0    |
| 32 | ('columns.txt', 'mutation_overlap_ID0000019')                                                         |         0    |
| 33 | ('columns.txt', 'individuals_ID0000003')                                                              |         0    |
| 34 | ('columns.txt', 'mutation_overlap_ID0000017')                                                         |         0    |
| 35 | ('columns.txt', 'frequency_ID0000016')                                                                |         0    |
| 36 | ('columns.txt', 'individuals_ID0000002')                                                              |         0    |
| 38 | ('columns.txt', 'frequency_ID0000010')                                                                |         0    |
| 54 | ('EAS.txt', 'frequency_ID0000010')                                                                    |         0    |
| 39 | ('columns.txt', 'individuals_ID0000001')                                                              |         0    |
| 40 | ('columns.txt', 'frequency_ID0000014')                                                                |         0    |
| 41 | ('columns.txt', 'frequency_ID0000020')                                                                |         0    |
| 42 | ('columns.txt', 'mutation_overlap_ID0000013')                                                         |         0    |
| 43 | ('columns.txt', 'frequency_ID0000012')                                                                |         0    |
| 44 | ('columns.txt', 'frequency_ID0000008')                                                                |         0    |
| 46 | ('columns.txt', 'mutation_overlap_ID0000007')                                                         |         0    |
| 47 | ('GBR.txt', 'mutation_overlap_ID0000011')                                                             |         0    |
| 48 | ('GBR.txt', 'frequency_ID0000012')                                                                    |         0    |
| 20 | ('chr1n.tar.gz', 'frequency_ID0000016')                                                               |         0    |
| 50 | ('AFR.txt', 'mutation_overlap_ID0000015')                                                             |         0    |
| 51 | ('AFR.txt', 'frequency_ID0000016')                                                                    |         0    |
| 19 | ('chr1n.tar.gz', 'mutation_overlap_ID0000017')                                                        |         0    |
| 53 | ('EAS.txt', 'mutation_overlap_ID0000009')                                                             |         0    |
| 45 | ('columns.txt', 'frequency_ID0000018')                                                                |         0    |
+----+-------------------------------------------------------------------------------------------------------+--------------+
